index, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], power.draw [W]
0, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 11.12 W
1, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 12.17 W
2, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 7.49 W
3, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 11.99 W
1787996534,0, 31370, 74, 265.46;1, 30864, 64, 268.55;2, 30874, 68, 263.21;3, 30864, 67, 288.09
1787996539,0, 31370, 69, 298.16;1, 15818, 100, 121.24;2, 30874, 71, 316.77;3, 30864, 69, 306.30
1787996544,0, 17226, 100, 110.72;1, 16094, 0, 73.91;2, 16718, 100, 102.87;3, 16720, 100, 116.17
1787996549,0, 17226, 100, 109.45;1, 16094, 0, 73.46;2, 16718, 100, 102.64;3, 16720, 100, 115.37
1787996554,0, 17226, 100, 108.78;1, 16094, 0, 73.18;2, 16718, 100, 102.53;3, 16720, 100, 114.87
1787996559,0, 17226, 100, 107.89;1, 16094, 0, 30.84;2, 16718, 100, 102.32;3, 16720, 100, 114.38
1787996564,0, 17226, 100, 107.19;1, 16094, 0, 13.65;2, 16718, 100, 102.07;3, 16720, 100, 114.32
1787996569,0, 31370, 65, 306.13;1, 30864, 63, 283.48;2, 30874, 68, 279.31;3, 30864, 67, 312.30
1787996574,0, 31370, 68, 294.06;1, 30864, 65, 296.15;2, 30874, 72, 287.47;3, 30864, 69, 334.98
1787996579,0, 17226, 100, 97.58;1, 16720, 86, 118.28;2, 16718, 100, 102.40;3, 16722, 0, 72.84
1787996585,0, 31370, 67, 318.17;1, 30864, 64, 293.08;2, 30876, 66, 307.84;3, 30864, 67, 326.24
1787996590,0, 16324, 100, 109.15;1, 30864, 67, 330.84;2, 15830, 70, 315.35;3, 15818, 72, 340.14
1787996595,0, 31370, 68, 255.55;1, 30864, 21, 330.79;2, 30874, 99, 287.05;3, 30864, 79, 339.17
1787996600,0, 31370, 68, 293.77;1, 30864, 66, 300.44;2, 30874, 70, 283.40;3, 30864, 69, 304.47
1787996605,0, 17594, 62, 306.39;1, 17088, 55, 322.99;2, 17084, 70, 296.18;3, 17088, 73, 318.51
1787996610,0, 31370, 67, 308.51;1, 30866, 66, 299.42;2, 30876, 70, 280.90;3, 30864, 68, 301.06
1787996615,0, 16924, 0, 142.15;1, 16676, 100, 110.97;2, 16672, 0, 129.26;3, 16676, 0, 94.71
1787996620,0, 19444, 9, 259.94;1, 27044, 74, 315.11;2, 27956, 59, 291.78;3, 27946, 71, 306.36
1787996625,0, 31370, 69, 295.17;1, 30864, 66, 331.34;2, 30876, 70, 284.42;3, 30866, 70, 307.75
1787996630,0, 17228, 100, 107.87;1, 16722, 100, 120.02;2, 16718, 0, 85.87;3, 16720, 3, 84.57
1787996635,0, 31370, 67, 291.29;1, 30864, 62, 317.63;2, 30874, 68, 278.86;3, 30864, 68, 313.77
1787996640,0, 31370, 69, 328.48;1, 15818, 100, 121.13;2, 30874, 70, 317.11;3, 15818, 100, 116.40
1787996645,0, 17182, 100, 110.59;1, 16064, 100, 119.69;2, 16674, 0, 68.65;3, 16074, 100, 115.67
1787996651,0, 17182, 100, 109.82;1, 16064, 100, 119.27;2, 16674, 0, 67.29;3, 16074, 100, 115.31
1787996656,0, 17182, 100, 109.60;1, 16064, 100, 118.93;2, 16674, 0, 67.08;3, 16074, 100, 115.35
1787996661,0, 29980, 61, 273.37;1, 29474, 35, 194.19;2, 29484, 29, 260.78;3, 29474, 45, 192.44
1787996666,0, 16324, 100, 109.47;1, 30864, 65, 295.92;2, 30874, 71, 284.59;3, 30864, 70, 303.59
1787996671,0, 16452, 100, 109.28;1, 16722, 0, 97.59;2, 16718, 100, 91.02;3, 16722, 0, 85.78
1787996676,0, 16452, 100, 108.96;1, 16722, 100, 118.74;2, 16718, 100, 102.71;3, 16722, 0, 72.36
1787996681,0, 16452, 100, 107.83;1, 16722, 100, 118.66;2, 16718, 100, 102.58;3, 16722, 0, 72.40
1787996686,0, 16452, 100, 107.85;1, 16722, 100, 118.55;2, 16718, 100, 102.51;3, 16722, 0, 63.49
1787996691,0, 31370, 67, 287.61;1, 30864, 63, 292.22;2, 30874, 69, 285.21;3, 30866, 68, 328.86
1787996696,0, 31370, 70, 296.72;1, 30864, 65, 299.23;2, 30874, 70, 286.01;3, 30866, 69, 337.41
1787996701,0, 17598, 19, 306.41;1, 17088, 62, 334.23;2, 17084, 70, 291.41;3, 17092, 80, 320.89
1787996706,0, 31370, 67, 303.38;1, 30866, 63, 298.12;2, 30876, 69, 313.05;3, 15818, 67, 311.26
1787996711,0, 16800, 0, 92.84;1, 16134, 100, 117.53;2, 16674, 100, 99.25;3, 16246, 0, 93.46
1787996716,0, 16800, 0, 65.47;1, 16134, 100, 119.43;2, 16674, 100, 102.68;3, 16246, 100, 114.89
1787996722,0, 31370, 67, 287.96;1, 30864, 59, 287.23;2, 30878, 68, 280.79;3, 30864, 67, 298.39
1787996727,0, 31370, 70, 296.42;1, 30864, 64, 327.57;2, 15832, 69, 286.76;3, 15818, 100, 114.67
1787996732,0, 31372, 18, 302.61;1, 30864, 67, 307.58;2, 30874, 68, 276.20;3, 30864, 99, 256.08
1787996737,0, 31372, 69, 328.38;1, 30864, 59, 300.18;2, 30874, 69, 285.41;3, 30864, 70, 306.90
1787996742,0, 17598, 31, 326.97;1, 17088, 54, 334.39;2, 17084, 81, 310.76;3, 17088, 76, 316.32
1787996747,0, 16324, 100, 111.90;1, 30864, 64, 314.18;2, 30874, 69, 284.36;3, 30864, 69, 304.31
1787996752,0, 16584, 100, 110.95;1, 16216, 100, 120.68;2, 16718, 0, 86.90;3, 16722, 100, 109.24
1787996757,0, 31370, 67, 283.19;1, 30864, 64, 295.36;2, 30874, 68, 284.07;3, 30864, 67, 314.34
1787996762,0, 31370, 69, 297.65;1, 30864, 64, 299.15;2, 30874, 69, 286.31;3, 30864, 70, 306.65
1787996767,0, 17228, 0, 68.20;1, 16722, 100, 120.86;2, 16718, 100, 105.61;3, 16922, 15, 95.93
1787996772,0, 31370, 68, 291.12;1, 30864, 64, 312.01;2, 15828, 68, 273.02;3, 15818, 100, 185.85
1787996777,0, 31370, 70, 329.54;1, 15818, 100, 122.25;2, 15828, 100, 104.55;3, 15818, 100, 116.28
1787996782,0, 31372, 66, 297.96;1, 30864, 62, 294.08;2, 30876, 69, 278.69;3, 30864, 67, 298.02
1787996787,0, 31372, 68, 297.21;1, 30864, 65, 302.46;2, 30876, 69, 316.28;3, 30864, 71, 307.46
1787996793,0, 17550, 71, 304.04;1, 17044, 79, 304.63;2, 17044, 71, 294.88;3, 17044, 69, 310.69
1787996798,0, 31372, 67, 296.99;1, 30864, 65, 302.45;2, 30874, 69, 282.84;3, 30864, 69, 303.24
1787996803,0, 17182, 0, 153.69;1, 16676, 0, 189.76;2, 16672, 100, 134.61;3, 16676, 100, 157.28
1787996808,0, 31372, 67, 294.00;1, 30866, 63, 298.73;2, 30876, 69, 281.72;3, 30866, 68, 302.85
1787996813,0, 31372, 69, 301.22;1, 15820, 100, 124.41;2, 30876, 70, 319.31;3, 30866, 70, 341.32
1787996818,0, 17576, 68, 315.68;1, 16680, 53, 272.55;2, 17070, 82, 304.45;3, 17074, 62, 324.85
1787996823,0, 31372, 68, 297.40;1, 30864, 64, 301.34;2, 30874, 68, 285.28;3, 30864, 69, 306.75
1787996828,0, 17182, 0, 95.87;1, 16676, 100, 122.66;2, 16672, 100, 92.07;3, 16676, 0, 99.57
1787996833,0, 31370, 64, 322.17;1, 30864, 63, 297.01;2, 30874, 67, 284.60;3, 30864, 67, 317.39
1787996838,0, 31370, 68, 331.20;1, 15818, 100, 123.72;2, 30874, 68, 316.84;3, 30864, 69, 306.77
1787996843,0, 17532, 54, 282.46;1, 16572, 45, 229.80;2, 17022, 55, 258.23;3, 17026, 69, 277.97
1787996848,0, 31370, 67, 330.24;1, 30864, 63, 330.86;2, 30874, 69, 318.39;3, 15818, 100, 117.66
1787996853,0, 17596, 67, 183.81;1, 16650, 51, 199.06;2, 17086, 100, 187.41;3, 16494, 47, 156.59
1787996858,0, 31370, 66, 293.49;1, 30864, 63, 296.54;2, 30874, 67, 282.87;3, 30866, 68, 302.31
1787996864,0, 16324, 68, 237.49;1, 15858, 65, 305.13;2, 15882, 68, 286.45;3, 15986, 100, 298.52
1787996869,0, 31370, 65, 306.77;1, 30864, 63, 286.83;2, 30874, 50, 267.17;3, 30864, 66, 292.25
1787996874,0, 31370, 68, 330.95;1, 30864, 64, 313.24;2, 30874, 70, 318.86;3, 30864, 69, 337.58
